"","abbrv","actors","type","foreign","coalition","territory","terrcons","geospr","relgeoprs","milstrdiv","relmilstr","years","battles","grpfight","hostindex"
"57","AQitAP","Al Qaeda in the Arabian Peninsula",2,0,0,1,1,15,0.882,43.133,0.074,6,647,525,0.811
"105","HoA","Houthi/Ansar Allah",2,1,0,1,1,3,0.176,13.333,0.023,1,40,29,0.725
"138","SoM","Southern Movement",2,1,0,1,1,3,0.176,13.333,0.023,6,40,19,0.475
"7","AATTM","Al Abu Tuhayf Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"146","SRC","Supreme Revolutionary Committee",1,1,0,1,1,17,1,152.471,0.263,2,2592,1423,0.549
"29","AlHumTM","Al Humayqani Tribal Militia",4,0,0,0,0,1,0.059,51,0.088,6,51,39,0.765
"141","SSF2","Special Security Forces 2015-16",5,0,0,0,0,6,0.353,24.167,0.042,2,145,127,0.876
"127","RepublicanGuard2015","Republican Guard 2015-2016",5,0,0,1,1,6,0.353,12.333,0.021,2,74,56,0.757
"48","AlMarCM","Al Marwan Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"123","PoR","Popular Resistance",3,1,1,1,1,16,0.941,141.563,0.244,6,2265,961,0.424
"139","SoR","Southern Resistance",3,1,1,1,1,10,0.588,132.5,0.228,6,1325,572,0.432
"86","BaniSuraiTM","Bani Suraim Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"18","AlAwaTM","Al Awad Tribal Militia",4,0,0,0,0,1,0.059,14,0.024,3,14,10,0.714
"92","BiTM","Bilharith Tribal Militia",4,1,0,1,1,2,0.118,6,0.01,1,12,12,1
"121","MurTM","Murad Tribal Militia",4,0,0,0,0,2,0.118,11.5,0.02,6,23,11,0.478
"58","AlQafTM","Al Qafr Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"33","AIP","Al Islah Party",1,1,0,1,1,4,0.235,176.25,0.304,4,705,320,0.454
"45","AlMaqadTM","Al Maqadsheh Tribal Militia",4,0,0,0,0,2,0.118,1,0.002,2,2,2,1
"19","AlAwlTM","Al Awlaki Tribal Militia",4,0,0,1,1,1,0.059,19,0.033,2,19,19,1
"149","TiR","Tihama Resistance",3,1,1,1,0,2,0.118,75,0.129,6,150,146,0.973
"109","IsS","Islamic State",2,0,0,1,1,6,0.353,29.5,0.051,3,177,168,0.949
"117","MHSaM","Militia Hamoud Saeed al Mikhlafi",3,1,0,1,1,1,0.059,164,0.283,2,164,143,0.872
"80","AzR","Azal Resistance",3,1,1,0,0,2,0.118,1,0.002,2,2,2,1
"142","SubTM","Subaihi Tribal Militia",4,1,0,1,1,3,0.176,7.333,0.013,6,22,16,0.727
"72","AaS","Ansar al Sharia",2,0,0,1,1,6,0.353,14.333,0.025,5,86,57,0.663
"113","MilitiaAbaA","Militia Abu al Abbas",3,1,0,1,1,1,0.059,99,0.171,5,99,30,0.303
"81","BaAwTM","Ba Awdah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"99","HEF","Hadhrami Elite Forces",2,1,0,1,1,1,0.059,47,0.081,4,47,46,0.979
"3","AlAbaTM","Al Ababa Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"120","MMaZ","Militia Mukhtar al Zurayqi",3,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"133","SBF","Security Belt Forces",2,1,0,1,1,5,0.294,131.6,0.227,4,658,272,0.413
"1","AbiTM","Abidah Tribal Militia",4,0,0,0,0,1,0.059,26,0.045,6,26,4,0.154
"11","AACHTM","Al Ahmar Clan Hashed Tribal Militia",4,0,0,0,0,2,0.118,2.5,0.004,2,5,3,0.6
"59","ARMTM","Al Rashed Manifin Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"145","SPC","Supreme Political Council",1,1,1,1,1,17,1,580.529,1,5,9869,2380,0.241
"40","AlLasTM","Al Laswad Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"34","AlJabrTM","Al Jabri Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"115","MAM","Militia Al Mihdhar",3,1,0,1,1,2,0.118,13.5,0.023,4,27,10,0.37
"15","AlAqTM","Al Aqeel Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"128","RepublicanGuard2016","Republican Guard 2016-",5,0,0,1,1,6,0.353,7,0.012,2,42,33,0.786
"134","SEF","Shabwani Elite Forces",2,1,0,1,1,1,0.059,97,0.167,5,97,40,0.412
"35","AlJarTM","Al Jaradi Tribal Militia",4,0,0,1,1,1,0.059,1,0.002,1,1,1,1
"116","MGaM","Militia Ghazwan al Mikhlafi",3,0,0,0,0,1,0.059,6,0.01,3,6,5,0.833
"112","LCM","Lawdar Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"63","AlShabTM","Al Shabwani Tribal Militia",4,0,0,0,0,2,0.118,4,0.007,4,8,4,0.5
"31","AHbMTM","Al Hussein bin Mohammed Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"119","MHaA","Militia Hashid al Awni",3,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"118","MHaS","Militia Hashem al Sanaani",3,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"100","HamaTM","Hamadan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"111","KhoTM","Khowlan Tribal Militia",4,0,0,0,0,2,0.118,2.5,0.004,2,5,4,0.8
"122","NRF","National Resistance Forces",3,1,1,1,1,3,0.176,516,0.889,4,1548,1543,0.997
"132","SaHB","Salman al Hazm Brigades",3,1,0,0,0,1,0.059,5,0.009,2,5,5,1
"78","AaHCM","Awlad al Habashi Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"17","AaTTM","Al at Tali Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"70","AlWarTM","Al Warawirah Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"69","AlUkTM","Al Ukad Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"4","AlAbbTM","Al Abbaysah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"46","AlMarTM","Al Marghami Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"124","QahTM","Qahtani Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"110","KhaTM","Khalil Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"10","AlAhTM","Al Ahmad Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
